E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
8.2,8.4,-61.64,-57.14,14230007.58
8.4,8.6,-61.64,-57.14,16528466.42
8.6,8.8,-61.64,-57.14,18490207.98
8.8,9,-61.64,-57.14,23616221.27
9,9.2,-61.64,-57.14,0
9.2,9.4,-61.64,-57.14,0
9.4,9.6,-61.64,-57.14,0
9.6,9.8,-61.64,-57.14,0
9.8,10,-61.64,-57.14,0
2,2.2,-57.14,-53.13,0
2.2,2.4,-57.14,-53.13,0
2.4,2.6,-57.14,-53.13,0
2.6,2.8,-57.14,-53.13,0
2.8,3,-57.14,-53.13,0
3,3.2,-57.14,-53.13,0
3.2,3.4,-57.14,-53.13,0
3.4,3.6,-57.14,-53.13,0
3.6,3.8,-57.14,-53.13,0
3.8,4,-57.14,-53.13,0
4,4.2,-57.14,-53.13,0
4.2,4.4,-57.14,-53.13,0
4.4,4.6,-57.14,-53.13,1320.58
4.6,4.8,-57.14,-53.13,3185.85
4.8,5,-57.14,-53.13,13086.71
5,5.2,-57.14,-53.13,32890.27
5.2,5.4,-57.14,-53.13,97845.33
5.4,5.6,-57.14,-53.13,230686.41
5.6,5.8,-57.14,-53.13,462997.71
5.8,6,-57.14,-53.13,759363.3
6,6.2,-57.14,-53.13,1164732.66
6.2,6.4,-57.14,-53.13,1628806.87
6.4,6.6,-57.14,-53.13,2231870.9
6.6,6.8,-57.14,-53.13,2908642.36
6.8,7,-57.14,-53.13,3826310.48
7,7.2,-57.14,-53.13,4962617.66
7.2,7.4,-57.14,-53.13,6150021.25
7.4,7.6,-57.14,-53.13,7180792.03
7.6,7.8,-57.14,-53.13,8812724.1
7.8,8,-57.14,-53.13,10645824.12
8,8.2,-57.14,-53.13,12519335.18
8.2,8.4,-57.14,-53.13,14568229.96
8.4,8.6,-57.14,-53.13,17045478.1
8.6,8.8,-57.14,-53.13,19809156.91
8.8,9,-57.14,-53.13,23185260.57
9,9.2,-57.14,-53.13,0
9.2,9.4,-57.14,-53.13,0
9.4,9.6,-57.14,-53.13,0
9.6,9.8,-57.14,-53.13,0
9.8,10,-57.14,-53.13,0
2,2.2,-53.13,-49.46,0
2.2,2.4,-53.13,-49.46,0
2.4,2.6,-53.13,-49.46,0
2.6,2.8,-53.13,-49.46,0
2.8,3,-53.13,-49.46,0
3,3.2,-53.13,-49.46,0
3.2,3.4,-53.13,-49.46,0
3.4,3.6,-53.13,-49.46,0
3.6,3.8,-53.13,-49.46,0
3.8,4,-53.13,-49.46,0
4,4.2,-53.13,-49.46,0
4.2,4.4,-53.13,-49.46,173.13
4.4,4.6,-53.13,-49.46,1137.23
4.6,4.8,-53.13,-49.46,3424.3
4.8,5,-53.13,-49.46,10780.26
5,5.2,-53.13,-49.46,40145.6
5.2,5.4,-53.13,-49.46,99094.96
5.4,5.6,-53.13,-49.46,217430.8
5.6,5.8,-53.13,-49.46,455914.42
5.8,6,-53.13,-49.46,786566.04
6,6.2,-53.13,-49.46,1203748.32
6.2,6.4,-53.13,-49.46,1730337.3
6.4,6.6,-53.13,-49.46,2350890.16
6.6,6.8,-53.13,-49.46,3135203
6.8,7,-53.13,-49.46,4020432.2
7,7.2,-53.13,-49.46,4930314.37
7.2,7.4,-53.13,-49.46,6270610.41
7.4,7.6,-53.13,-49.46,7633683.18
7.6,7.8,-53.13,-49.46,9415681.83
7.8,8,-53.13,-49.46,10933702.33
8,8.2,-53.13,-49.46,12741259.41
8.2,8.4,-53.13,-49.46,15106917.11
8.4,8.6,-53.13,-49.46,18211455.84
8.6,8.8,-53.13,-49.46,21143402.1
8.8,9,-53.13,-49.46,24070105.45
9,9.2,-53.13,-49.46,0
9.2,9.4,-53.13,-49.46,0
9.4,9.6,-53.13,-49.46,0
9.6,9.8,-53.13,-49.46,0
9.8,10,-53.13,-49.46,0
2,2.2,-49.46,-46.05,0
2.2,2.4,-49.46,-46.05,0
2.4,2.6,-49.46,-46.05,0
2.6,2.8,-49.46,-46.05,0
2.8,3,-49.46,-46.05,0
3,3.2,-49.46,-46.05,0
3.2,3.4,-49.46,-46.05,0
3.4,3.6,-49.46,-46.05,0
3.6,3.8,-49.46,-46.05,0
3.8,4,-49.46,-46.05,0
4,4.2,-49.46,-46.05,0
4.2,4.4,-49.46,-46.05,246.93
4.4,4.6,-49.46,-46.05,921.37
4.6,4.8,-49.46,-46.05,4846.92
4.8,5,-49.46,-46.05,15346.73
5,5.2,-49.46,-46.05,34777.81
5.2,5.4,-49.46,-46.05,107021.86
5.4,5.6,-49.46,-46.05,231434.76
5.6,5.8,-49.46,-46.05,504076.37
5.8,6,-49.46,-46.05,817667.04
6,6.2,-49.46,-46.05,1338134.38
6.2,6.4,-49.46,-46.05,1782671.59
6.4,6.6,-49.46,-46.05,2542277.09
6.6,6.8,-49.46,-46.05,3408616.47
6.8,7,-49.46,-46.05,4249922.02
7,7.2,-49.46,-46.05,5320470.22
7.2,7.4,-49.46,-46.05,6632836.38
7.4,7.6,-49.46,-46.05,8020132.5
