E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2,2.2,-90,-73.74,0
2.2,2.4,-90,-73.74,0
2.4,2.6,-90,-73.74,0
2.6,2.8,-90,-73.74,0
2.8,3,-90,-73.74,0
3,3.2,-90,-73.74,0
3.2,3.4,-90,-73.74,0
3.4,3.6,-90,-73.74,0
3.6,3.8,-90,-73.74,0
3.8,4,-90,-73.74,0
4,4.2,-90,-73.74,0
4.2,4.4,-90,-73.74,0
4.4,4.6,-90,-73.74,220.16
4.6,4.8,-90,-73.74,1000.95
4.8,5,-90,-73.74,3906.04
5,5.2,-90,-73.74,16595.53
5.2,5.4,-90,-73.74,42286.27
5.4,5.6,-90,-73.74,108828.44
5.6,5.8,-90,-73.74,221073.92
5.8,6,-90,-73.74,361166.48
6,6.2,-90,-73.74,554433.21
6.2,6.4,-90,-73.74,804896.09
6.4,6.6,-90,-73.74,1083519.9
6.6,6.8,-90,-73.74,1393142.39
6.8,7,-90,-73.74,1670334.22
7,7.2,-90,-73.74,2184571.89
7.2,7.4,-90,-73.74,2706358.78
7.4,7.6,-90,-73.74,3235725.24
7.6,7.8,-90,-73.74,3914501.77
7.8,8,-90,-73.74,4978330.01
8,8.2,-90,-73.74,5710152.09
8.2,8.4,-90,-73.74,6575211.33
8.4,8.6,-90,-73.74,8342904.84
8.6,8.8,-90,-73.74,9006899.8
8.8,9,-90,-73.74,10908870.3
9,9.2,-90,-73.74,0
9.2,9.4,-90,-73.74,0
9.4,9.6,-90,-73.74,0
9.6,9.8,-90,-73.74,0
9.8,10,-90,-73.74,0
2,2.2,-73.74,-66.93,0
2.2,2.4,-73.74,-66.93,0
2.4,2.6,-73.74,-66.93,0
2.6,2.8,-73.74,-66.93,0
2.8,3,-73.74,-66.93,0
3,3.2,-73.74,-66.93,0
3.2,3.4,-73.74,-66.93,0
3.4,3.6,-73.74,-66.93,0
3.6,3.8,-73.74,-66.93,0
3.8,4,-73.74,-66.93,0
4,4.2,-73.74,-66.93,0
4.2,4.4,-73.74,-66.93,0
4.4,4.6,-73.74,-66.93,165.26
4.6,4.8,-73.74,-66.93,471.62
4.8,5,-73.74,-66.93,2429.25
5,5.2,-73.74,-66.93,8460.34
5.2,5.4,-73.74,-66.93,30360.76
5.4,5.6,-73.74,-66.93,73930.22
5.6,5.8,-73.74,-66.93,174229.11
5.8,6,-73.74,-66.93,333343.48
6,6.2,-73.74,-66.93,521511.65
6.2,6.4,-73.74,-66.93,793191.96
6.4,6.6,-73.74,-66.93,1095507.62
6.6,6.8,-73.74,-66.93,1410054.17
6.8,7,-73.74,-66.93,1805267.8
7,7.2,-73.74,-66.93,2293589.21
7.2,7.4,-73.74,-66.93,2777935.47
7.4,7.6,-73.74,-66.93,3358257.71
7.6,7.8,-73.74,-66.93,4307588.32
7.8,8,-73.74,-66.93,4943886.89
8,8.2,-73.74,-66.93,5754508.8
8.2,8.4,-73.74,-66.93,6891824.06
8.4,8.6,-73.74,-66.93,7896595.25
8.6,8.8,-73.74,-66.93,10053329.93
8.8,9,-73.74,-66.93,10652278.51
9,9.2,-73.74,-66.93,0
9.2,9.4,-73.74,-66.93,0
9.4,9.6,-73.74,-66.93,0
9.6,9.8,-73.74,-66.93,0
9.8,10,-73.74,-66.93,0
2,2.2,-66.93,-61.64,0
2.2,2.4,-66.93,-61.64,0
2.4,2.6,-66.93,-61.64,0
2.6,2.8,-66.93,-61.64,0
2.8,3,-66.93,-61.64,0
3,3.2,-66.93,-61.64,0
3.2,3.4,-66.93,-61.64,0
3.4,3.6,-66.93,-61.64,0
3.6,3.8,-66.93,-61.64,0
3.8,4,-66.93,-61.64,0
4,4.2,-66.93,-61.64,0
4.2,4.4,-66.93,-61.64,0
4.4,4.6,-66.93,-61.64,151.45
4.6,4.8,-66.93,-61.64,407.39
4.8,5,-66.93,-61.64,2150.08
5,5.2,-66.93,-61.64,6607.72
5.2,5.4,-66.93,-61.64,18621
5.4,5.6,-66.93,-61.64,62197.23
5.6,5.8,-66.93,-61.64,134873.07
5.8,6,-66.93,-61.64,302551.96
6,6.2,-66.93,-61.64,496932.99
6.2,6.4,-66.93,-61.64,814415.6
6.4,6.6,-66.93,-61.64,1110464.7
6.6,6.8,-66.93,-61.64,1471730.68
6.8,7,-66.93,-61.64,1823555
7,7.2,-66.93,-61.64,2408655.86
7.2,7.4,-66.93,-61.64,2967348.96
7.4,7.6,-66.93,-61.64,3659082.44
7.6,7.8,-66.93,-61.64,4327277.54
7.8,8,-66.93,-61.64,5046222.64
8,8.2,-66.93,-61.64,6068784.4
8.2,8.4,-66.93,-61.64,7303769.33
8.4,8.6,-66.93,-61.64,8457200.82
8.6,8.8,-66.93,-61.64,9622648.76
8.8,9,-66.93,-61.64,11078606.61
9,9.2,-66.93,-61.64,0
9.2,9.4,-66.93,-61.64,0
9.4,9.6,-66.93,-61.64,0
9.6,9.8,-66.93,-61.64,0
9.8,10,-66.93,-61.64,0
2,2.2,-61.64,-57.14,0
2.2,2.4,-61.64,-57.14,0
2.4,2.6,-61.64,-57.14,0
2.6,2.8,-61.64,-57.14,0
2.8,3,-61.64,-57.14,0
3,3.2,-61.64,-57.14,0
3.2,3.4,-61.64,-57.14,0
3.4,3.6,-61.64,-57.14,0
3.6,3.8,-61.64,-57.14,0
