E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
8.4,8.6,-61.64,-57.14,1159734.68
8.6,8.8,-61.64,-57.14,998409.09
8.8,9,-61.64,-57.14,572959.56
9,9.2,-61.64,-57.14,509591.49
9.2,9.4,-61.64,-57.14,560820.91
9.4,9.6,-61.64,-57.14,252429.86
9.6,9.8,-61.64,-57.14,281002.74
9.8,10,-61.64,-57.14,178258.76
2,2.2,-57.14,-53.13,0
2.2,2.4,-57.14,-53.13,0
2.4,2.6,-57.14,-53.13,0
2.6,2.8,-57.14,-53.13,0
2.8,3,-57.14,-53.13,0
3,3.2,-57.14,-53.13,0
3.2,3.4,-57.14,-53.13,0
3.4,3.6,-57.14,-53.13,0
3.6,3.8,-57.14,-53.13,0
3.8,4,-57.14,-53.13,0
4,4.2,-57.14,-53.13,0
4.2,4.4,-57.14,-53.13,0
4.4,4.6,-57.14,-53.13,0
4.6,4.8,-57.14,-53.13,115.44
4.8,5,-57.14,-53.13,0
5,5.2,-57.14,-53.13,388.37
5.2,5.4,-57.14,-53.13,2959.23
5.4,5.6,-57.14,-53.13,7817.93
5.6,5.8,-57.14,-53.13,27535.51
5.8,6,-57.14,-53.13,71143.23
6,6.2,-57.14,-53.13,158656.25
6.2,6.4,-57.14,-53.13,355366.93
6.4,6.6,-57.14,-53.13,581235.62
6.6,6.8,-57.14,-53.13,801325.34
6.8,7,-57.14,-53.13,1072996.37
7,7.2,-57.14,-53.13,1424983.55
7.2,7.4,-57.14,-53.13,1769098.15
7.4,7.6,-57.14,-53.13,1986309.08
7.6,7.8,-57.14,-53.13,2097182.07
7.8,8,-57.14,-53.13,2163172.72
8,8.2,-57.14,-53.13,2113776.92
8.2,8.4,-57.14,-53.13,1691787.05
8.4,8.6,-57.14,-53.13,1344903.93
8.6,8.8,-57.14,-53.13,1079065.16
8.8,9,-57.14,-53.13,838562.83
9,9.2,-57.14,-53.13,583783.56
9.2,9.4,-57.14,-53.13,386355.04
9.4,9.6,-57.14,-53.13,497188.8
9.6,9.8,-57.14,-53.13,380341.94
9.8,10,-57.14,-53.13,309063.29
2,2.2,-53.13,-49.46,0
2.2,2.4,-53.13,-49.46,0
2.4,2.6,-53.13,-49.46,0
2.6,2.8,-53.13,-49.46,0
2.8,3,-53.13,-49.46,0
3,3.2,-53.13,-49.46,0
3.2,3.4,-53.13,-49.46,0
3.4,3.6,-53.13,-49.46,0
3.6,3.8,-53.13,-49.46,0
3.8,4,-53.13,-49.46,0
4,4.2,-53.13,-49.46,0
4.2,4.4,-53.13,-49.46,0
4.4,4.6,-53.13,-49.46,0
4.6,4.8,-53.13,-49.46,0
4.8,5,-53.13,-49.46,0
5,5.2,-53.13,-49.46,551.42
5.2,5.4,-53.13,-49.46,2846.73
5.4,5.6,-53.13,-49.46,15112.1
5.6,5.8,-53.13,-49.46,33225.53
5.8,6,-53.13,-49.46,69832.17
6,6.2,-53.13,-49.46,188803.28
6.2,6.4,-53.13,-49.46,399510.22
6.4,6.6,-53.13,-49.46,664366.08
6.6,6.8,-53.13,-49.46,933560.17
6.8,7,-53.13,-49.46,1287165.22
7,7.2,-53.13,-49.46,1556408.54
7.2,7.4,-53.13,-49.46,1880165.57
7.4,7.6,-53.13,-49.46,2028342.87
7.6,7.8,-53.13,-49.46,2349451.7
7.8,8,-53.13,-49.46,2283801.96
8,8.2,-53.13,-49.46,2377357.75
8.2,8.4,-53.13,-49.46,2086330.5
8.4,8.6,-53.13,-49.46,1496467.2
8.6,8.8,-53.13,-49.46,1241886.9
8.8,9,-53.13,-49.46,861969.68
9,9.2,-53.13,-49.46,608731.04
9.2,9.4,-53.13,-49.46,484284.35
9.4,9.6,-53.13,-49.46,441630.49
9.6,9.8,-53.13,-49.46,411230.25
9.8,10,-53.13,-49.46,209284.93
2,2.2,-49.46,-46.05,0
2.2,2.4,-49.46,-46.05,0
2.4,2.6,-49.46,-46.05,0
2.6,2.8,-49.46,-46.05,0
2.8,3,-49.46,-46.05,0
3,3.2,-49.46,-46.05,0
3.2,3.4,-49.46,-46.05,0
3.4,3.6,-49.46,-46.05,0
3.6,3.8,-49.46,-46.05,0
3.8,4,-49.46,-46.05,0
4,4.2,-49.46,-46.05,0
4.2,4.4,-49.46,-46.05,0
4.4,4.6,-49.46,-46.05,0
4.6,4.8,-49.46,-46.05,0
4.8,5,-49.46,-46.05,0
5,5.2,-49.46,-46.05,710.66
5.2,5.4,-49.46,-46.05,3841.44
5.4,5.6,-49.46,-46.05,11113.52
5.6,5.8,-49.46,-46.05,30424.53
5.8,6,-49.46,-46.05,91062.46
6,6.2,-49.46,-46.05,195587.56
6.2,6.4,-49.46,-46.05,433074.21
6.4,6.6,-49.46,-46.05,711202.78
6.6,6.8,-49.46,-46.05,1051415.78
6.8,7,-49.46,-46.05,1326822.41
7,7.2,-49.46,-46.05,1669103.4
7.2,7.4,-49.46,-46.05,2034730.03
7.4,7.6,-49.46,-46.05,2461418.67
7.6,7.8,-49.46,-46.05,2620172.06
7.8,8,-49.46,-46.05,2654520.1
8,8.2,-49.46,-46.05,2754822.82
8.2,8.4,-49.46,-46.05,2336882.95
8.4,8.6,-49.46,-46.05,1908630.47
8.6,8.8,-49.46,-46.05,1348903.48
8.8,9,-49.46,-46.05,1037087.56
9,9.2,-49.46,-46.05,794826.54
9.2,9.4,-49.46,-46.05,666569.34
9.4,9.6,-49.46,-46.05,531158.96
9.6,9.8,-49.46,-46.05,465271.82
9.8,10,-49.46,-46.05,275284.38
2,2.2,-46.05,-42.84,0
2.2,2.4,-46.05,-42.84,0
2.4,2.6,-46.05,-42.84,0
2.6,2.8,-46.05,-42.84,0
2.8,3,-46.05,-42.84,0
3,3.2,-46.05,-42.84,0
3.2,3.4,-46.05,-42.84,0
3.4,3.6,-46.05,-42.84,0
3.6,3.8,-46.05,-42.84,0
3.8,4,-46.05,-42.84,0
4,4.2,-46.05,-42.84,0
4.2,4.4,-46.05,-42.84,0
4.4,4.6,-46.05,-42.84,0
4.6,4.8,-46.05,-42.84,0
4.8,5,-46.05,-42.84,155.35
5,5.2,-46.05,-42.84,982.46
5.2,5.4,-46.05,-42.84,4302.95
5.4,5.6,-46.05,-42.84,16553.89
5.6,5.8,-46.05,-42.84,38251.07
5.8,6,-46.05,-42.84,93211.58
6,6.2,-46.05,-42.84,236762
6.2,6.4,-46.05,-42.84,487688.85
6.4,6.6,-46.05,-42.84,834804.23
6.6,6.8,-46.05,-42.84,1199631.54
6.8,7,-46.05,-42.84,1493274.38
7,7.2,-46.05,-42.84,1839797.4
7.2,7.4,-46.05,-42.84,2302805.23
7.4,7.6,-46.05,-42.84,2470512.75
7.6,7.8,-46.05,-42.84,2761640.2
7.8,8,-46.05,-42.84,2972616.88
8,8.2,-46.05,-42.84,3132736.13
8.2,8.4,-46.05,-42.84,2604105.05
8.4,8.6,-46.05,-42.84,2039048.49
8.6,8.8,-46.05,-42.84,1865777.89
8.8,9,-46.05,-42.84,1374114.08
9,9.2,-46.05,-42.84,888428.26
9.2,9.4,-46.05,-42.84,912091.23
9.4,9.6,-46.05,-42.84,641309.48
9.6,9.8,-46.05,-42.84,500180.53
9.8,10,-46.05,-42.84,403729.6
2,2.2,-42.84,-39.79,0
2.2,2.4,-42.84,-39.79,0
2.4,2.6,-42.84,-39.79,0
2.6,2.8,-42.84,-39.79,0
2.8,3,-42.84,-39.79,0
3,3.2,-42.84,-39.79,0
3.2,3.4,-42.84,-39.79,0
3.4,3.6,-42.84,-39.79,0
3.6,3.8,-42.84,-39.79,0
3.8,4,-42.84,-39.79,0
4,4.2,-42.84,-39.79,0
4.2,4.4,-42.84,-39.79,0
4.4,4.6,-42.84,-39.79,0
4.6,4.8,-42.84,-39.79,0
4.8,5,-42.84,-39.79,137.39
5,5.2,-42.84,-39.79,978.55
5.2,5.4,-42.84,-39.79,3292.01
5.4,5.6,-42.84,-39.79,12173.83
5.6,5.8,-42.84,-39.79,35434.81
5.8,6,-42.84,-39.79,106586.25
