E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
8,8.2,-61.64,-57.14,11515830.15
8.2,8.4,-61.64,-57.14,14443441.48
8.4,8.6,-61.64,-57.14,17281293.93
8.6,8.8,-61.64,-57.14,19505123.77
8.8,9,-61.64,-57.14,22800264.05
9,9.2,-61.64,-57.14,0
9.2,9.4,-61.64,-57.14,0
9.4,9.6,-61.64,-57.14,0
9.6,9.8,-61.64,-57.14,0
9.8,10,-61.64,-57.14,0
2,2.2,-57.14,-53.13,0
2.2,2.4,-57.14,-53.13,0
2.4,2.6,-57.14,-53.13,0
2.6,2.8,-57.14,-53.13,0
2.8,3,-57.14,-53.13,0
3,3.2,-57.14,-53.13,0.1
3.2,3.4,-57.14,-53.13,0.17
3.4,3.6,-57.14,-53.13,0.48
3.6,3.8,-57.14,-53.13,0
3.8,4,-57.14,-53.13,0.71
4,4.2,-57.14,-53.13,0
4.2,4.4,-57.14,-53.13,8.31
4.4,4.6,-57.14,-53.13,13.39
4.6,4.8,-57.14,-53.13,224.87
4.8,5,-57.14,-53.13,1895.65
5,5.2,-57.14,-53.13,7480.36
5.2,5.4,-57.14,-53.13,37842.63
5.4,5.6,-57.14,-53.13,98607.21
5.6,5.8,-57.14,-53.13,248866.79
5.8,6,-57.14,-53.13,478991.88
6,6.2,-57.14,-53.13,779285.64
6.2,6.4,-57.14,-53.13,1215251.99
6.4,6.6,-57.14,-53.13,1765499.54
6.6,6.8,-57.14,-53.13,2411014.72
6.8,7,-57.14,-53.13,3185152.65
7,7.2,-57.14,-53.13,4298041.58
7.2,7.4,-57.14,-53.13,5185767.34
7.4,7.6,-57.14,-53.13,6769584.79
7.6,7.8,-57.14,-53.13,7970043.7
7.8,8,-57.14,-53.13,10350689.62
8,8.2,-57.14,-53.13,12492731.81
8.2,8.4,-57.14,-53.13,14511997.37
8.4,8.6,-57.14,-53.13,17082837.85
8.6,8.8,-57.14,-53.13,20798487.78
8.8,9,-57.14,-53.13,22842431.28
9,9.2,-57.14,-53.13,0
9.2,9.4,-57.14,-53.13,0
9.4,9.6,-57.14,-53.13,0
9.6,9.8,-57.14,-53.13,0
9.8,10,-57.14,-53.13,0
2,2.2,-53.13,-49.46,0
2.2,2.4,-53.13,-49.46,0
