E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2,2.2,-90,-73.74,0
2.2,2.4,-90,-73.74,0
2.4,2.6,-90,-73.74,0
2.6,2.8,-90,-73.74,0
2.8,3,-90,-73.74,0
3,3.2,-90,-73.74,0
3.2,3.4,-90,-73.74,0
3.4,3.6,-90,-73.74,0
3.6,3.8,-90,-73.74,0
3.8,4,-90,-73.74,0
4,4.2,-90,-73.74,146.23
4.2,4.4,-90,-73.74,367.55
4.4,4.6,-90,-73.74,1318.99
4.6,4.8,-90,-73.74,3159.38
4.8,5,-90,-73.74,8738.07
5,5.2,-90,-73.74,17928.62
5.2,5.4,-90,-73.74,40195.08
5.4,5.6,-90,-73.74,103837.73
5.6,5.8,-90,-73.74,223755.24
5.8,6,-90,-73.74,385458.29
6,6.2,-90,-73.74,613964.72
6.2,6.4,-90,-73.74,888580.2
6.4,6.6,-90,-73.74,1227279.41
6.6,6.8,-90,-73.74,1620368.25
6.8,7,-90,-73.74,2045616.62
7,7.2,-90,-73.74,2477776.55
7.2,7.4,-90,-73.74,3063150.87
7.4,7.6,-90,-73.74,3676421.79
7.6,7.8,-90,-73.74,4555238.29
7.8,8,-90,-73.74,5245965.75
8,8.2,-90,-73.74,6347071.45
8.2,8.4,-90,-73.74,7264356.17
8.4,8.6,-90,-73.74,8653266.31
8.6,8.8,-90,-73.74,10320975.23
8.8,9,-90,-73.74,12496505.36
9,9.2,-90,-73.74,0
9.2,9.4,-90,-73.74,0
9.4,9.6,-90,-73.74,0
9.6,9.8,-90,-73.74,0
9.8,10,-90,-73.74,0
2,2.2,-73.74,-66.93,0
2.2,2.4,-73.74,-66.93,0
2.4,2.6,-73.74,-66.93,0
2.6,2.8,-73.74,-66.93,0
2.8,3,-73.74,-66.93,0
3,3.2,-73.74,-66.93,0
3.2,3.4,-73.74,-66.93,0
3.4,3.6,-73.74,-66.93,0
3.6,3.8,-73.74,-66.93,0
3.8,4,-73.74,-66.93,0
4,4.2,-73.74,-66.93,0
4.2,4.4,-73.74,-66.93,131.46
4.4,4.6,-73.74,-66.93,554.56
4.6,4.8,-73.74,-66.93,1884.15
4.8,5,-73.74,-66.93,4401.14
5,5.2,-73.74,-66.93,10755.05
5.2,5.4,-73.74,-66.93,28456.19
5.4,5.6,-73.74,-66.93,76733.25
5.6,5.8,-73.74,-66.93,198406.57
5.8,6,-73.74,-66.93,404452.49
6,6.2,-73.74,-66.93,651655.96
6.2,6.4,-73.74,-66.93,1013698.55
6.4,6.6,-73.74,-66.93,1355030.09
6.6,6.8,-73.74,-66.93,1728945.6
6.8,7,-73.74,-66.93,2168908.6
7,7.2,-73.74,-66.93,2706981.96
7.2,7.4,-73.74,-66.93,3298814.15
7.4,7.6,-73.74,-66.93,3953799.07
7.6,7.8,-73.74,-66.93,4848455.07
7.8,8,-73.74,-66.93,5522447.77
8,8.2,-73.74,-66.93,6790616.37
8.2,8.4,-73.74,-66.93,7513246.48
8.4,8.6,-73.74,-66.93,9118059.61
8.6,8.8,-73.74,-66.93,10550900.13
8.8,9,-73.74,-66.93,12537642.81
9,9.2,-73.74,-66.93,0
9.2,9.4,-73.74,-66.93,0
9.4,9.6,-73.74,-66.93,0
9.6,9.8,-73.74,-66.93,0
9.8,10,-73.74,-66.93,0
2,2.2,-66.93,-61.64,0
2.2,2.4,-66.93,-61.64,0
2.4,2.6,-66.93,-61.64,0
2.6,2.8,-66.93,-61.64,0
2.8,3,-66.93,-61.64,0
3,3.2,-66.93,-61.64,0
3.2,3.4,-66.93,-61.64,0
3.4,3.6,-66.93,-61.64,0
3.6,3.8,-66.93,-61.64,0
3.8,4,-66.93,-61.64,0
4,4.2,-66.93,-61.64,21.44
4.2,4.4,-66.93,-61.64,265.82
4.4,4.6,-66.93,-61.64,214.9
4.6,4.8,-66.93,-61.64,1693.11
4.8,5,-66.93,-61.64,3215.31
5,5.2,-66.93,-61.64,6235.42
5.2,5.4,-66.93,-61.64,18828.25
5.4,5.6,-66.93,-61.64,58488.85
5.6,5.8,-66.93,-61.64,192461.28
5.8,6,-66.93,-61.64,407396.32
6,6.2,-66.93,-61.64,684365.26
6.2,6.4,-66.93,-61.64,1042764.28
6.4,6.6,-66.93,-61.64,1396642.55
6.6,6.8,-66.93,-61.64,1772250.79
6.8,7,-66.93,-61.64,2302015.09
7,7.2,-66.93,-61.64,2757240.11
7.2,7.4,-66.93,-61.64,3472705.79
7.4,7.6,-66.93,-61.64,4077937.05
7.6,7.8,-66.93,-61.64,4966030.98
7.8,8,-66.93,-61.64,5673940.03
8,8.2,-66.93,-61.64,6750991.03
8.2,8.4,-66.93,-61.64,7990878.62
8.4,8.6,-66.93,-61.64,9089853.07
8.6,8.8,-66.93,-61.64,10662106.16
8.8,9,-66.93,-61.64,12786989.79
9,9.2,-66.93,-61.64,0
9.2,9.4,-66.93,-61.64,0
9.4,9.6,-66.93,-61.64,0
9.6,9.8,-66.93,-61.64,0
9.8,10,-66.93,-61.64,0
2,2.2,-61.64,-57.14,0
2.2,2.4,-61.64,-57.14,0
2.4,2.6,-61.64,-57.14,0
2.6,2.8,-61.64,-57.14,0
2.8,3,-61.64,-57.14,0
3,3.2,-61.64,-57.14,0
3.2,3.4,-61.64,-57.14,0
3.4,3.6,-61.64,-57.14,0
